PID,mods_identifier_hdl_s
islandora:14580,http://hdl.handle.net/10560.2/44464446
islandora:14829,http://hdl.handle.net/10560.2/as12345000
islandora:13273,http://hdl.handle.net/10560.2/islandora:13273
islandora:14570,http://hdl.handle.net/10560.2/islandora:14570
islandora:14575,http://hdl.handle.net/10560.2/islandora:14575
islandora:14837,http://hdl.handle.net/10560.2/islandora:14837
islandora:14840,http://hdl.handle.net/10560.2/islandora:14840
islandora:14780,http://hdl.handle.net/10560.2/timtesttest
islandora:6732,http://hdl.handle.net/10560/100
islandora:11595,http://hdl.handle.net/10560/1006
islandora:13434,http://hdl.handle.net/10560/1007
islandora:11334,http://hdl.handle.net/10560/1008
islandora:14333,http://hdl.handle.net/10560/1009
islandora:6739,http://hdl.handle.net/10560/101
islandora:6818,http://hdl.handle.net/10560/102
islandora:10387,http://hdl.handle.net/10560/1022
islandora:7514,http://hdl.handle.net/10560/103
islandora:10272,http://hdl.handle.net/10560/1036
islandora:10275,http://hdl.handle.net/10560/1037
islandora:10350,http://hdl.handle.net/10560/1038
islandora:10336,http://hdl.handle.net/10560/1039
islandora:6590,http://hdl.handle.net/10560/104
islandora:10351,http://hdl.handle.net/10560/1040
islandora:10353,http://hdl.handle.net/10560/1041
islandora:10267,http://hdl.handle.net/10560/1042
islandora:10276,http://hdl.handle.net/10560/1043
islandora:10283,http://hdl.handle.net/10560/1044
islandora:10294,http://hdl.handle.net/10560/1045
islandora:10303,http://hdl.handle.net/10560/1046
islandora:10314,http://hdl.handle.net/10560/1047
islandora:10325,http://hdl.handle.net/10560/1048
islandora:10334,http://hdl.handle.net/10560/1049
islandora:6592,http://hdl.handle.net/10560/105
islandora:10335,http://hdl.handle.net/10560/1050
islandora:10277,http://hdl.handle.net/10560/1051
islandora:10278,http://hdl.handle.net/10560/1052
islandora:10361,http://hdl.handle.net/10560/1053
islandora:10363,http://hdl.handle.net/10560/1054
islandora:10279,http://hdl.handle.net/10560/1055
islandora:10280,http://hdl.handle.net/10560/1056
islandora:10281,http://hdl.handle.net/10560/1057
islandora:10282,http://hdl.handle.net/10560/1058
islandora:10284,http://hdl.handle.net/10560/1059
islandora:6612,http://hdl.handle.net/10560/106
islandora:10285,http://hdl.handle.net/10560/1060
islandora:10364,http://hdl.handle.net/10560/1061
islandora:10286,http://hdl.handle.net/10560/1062
islandora:10287,http://hdl.handle.net/10560/1063
islandora:10365,http://hdl.handle.net/10560/1064
islandora:10288,http://hdl.handle.net/10560/1065
islandora:10289,http://hdl.handle.net/10560/1066
islandora:10290,http://hdl.handle.net/10560/1067
islandora:10369,http://hdl.handle.net/10560/1068
islandora:10348,http://hdl.handle.net/10560/1069
islandora:6645,http://hdl.handle.net/10560/107
islandora:10291,http://hdl.handle.net/10560/1070
islandora:10292,http://hdl.handle.net/10560/1071
islandora:10293,http://hdl.handle.net/10560/1072
islandora:10295,http://hdl.handle.net/10560/1073
islandora:10347,http://hdl.handle.net/10560/1074
islandora:10273,http://hdl.handle.net/10560/1075
islandora:10296,http://hdl.handle.net/10560/1076
islandora:10297,http://hdl.handle.net/10560/1077
islandora:10298,http://hdl.handle.net/10560/1078
islandora:10299,http://hdl.handle.net/10560/1079
islandora:6648,http://hdl.handle.net/10560/108
islandora:10300,http://hdl.handle.net/10560/1080
islandora:10301,http://hdl.handle.net/10560/1081
islandora:10270,http://hdl.handle.net/10560/1082
islandora:10344,http://hdl.handle.net/10560/1083
islandora:10302,http://hdl.handle.net/10560/1085
islandora:10304,http://hdl.handle.net/10560/1086
islandora:10305,http://hdl.handle.net/10560/1087
islandora:10306,http://hdl.handle.net/10560/1088
islandora:10307,http://hdl.handle.net/10560/1089
islandora:6649,http://hdl.handle.net/10560/109
islandora:10308,http://hdl.handle.net/10560/1090
islandora:10309,http://hdl.handle.net/10560/1091
islandora:10310,http://hdl.handle.net/10560/1092
islandora:10311,http://hdl.handle.net/10560/1093
islandora:10312,http://hdl.handle.net/10560/1094
islandora:10313,http://hdl.handle.net/10560/1095
islandora:10315,http://hdl.handle.net/10560/1096
islandora:10316,http://hdl.handle.net/10560/1097
islandora:10317,http://hdl.handle.net/10560/1098
islandora:10318,http://hdl.handle.net/10560/1099
islandora:6652,http://hdl.handle.net/10560/110
islandora:10319,http://hdl.handle.net/10560/1100
islandora:10320,http://hdl.handle.net/10560/1101
islandora:10321,http://hdl.handle.net/10560/1102
islandora:10322,http://hdl.handle.net/10560/1103
islandora:10323,http://hdl.handle.net/10560/1104
islandora:10324,http://hdl.handle.net/10560/1105
